	Richness	Shannon	Shannon.effective	Simpson	Simpson.effective	Evenness
1.186.5	162	4.29073790586776	73.02	0.0247451352790209	40.41	0.584581143236097
10.187.5	172	4.33296316727367	76.17	0.0260414856824403	38.4	0.583464677115122
11.191.5	146	4.1028344350484	60.51	0.0298706170639341	33.48	0.570644582694451
12.192.5	168	4.42653380930079	83.64	0.0205278075182165	48.71	0.598801912328714
13.194.5	168	4.52316717407677	92.13	0.0176006514583918	56.82	0.611874046444358
14.195.5	159	4.33942199979749	76.66	0.022933472199968	43.6	0.593394154717297
15.196.5	151	4.14482395341623	63.11	0.0317007062764161	31.55	0.572615666390977
16.186.7	131	3.87601069775565	48.23	0.0477618923515912	20.94	0.551084542605838
17.188.7	161	4.03570101940241	56.58	0.0345506651554926	28.94	0.550504266587772
18.189.7	132	3.981759132564	53.61	0.0362491630758171	27.59	0.565237984289077
19.190.7	152	4.19849653022761	66.59	0.0290679794405605	34.4	0.579268559521347
2.188.5	150	3.99350935947965	54.24	0.0396614523364328	25.21	0.552442872129319
20.193.7	107	3.84051151196193	46.55	0.0382605132601833	26.14	0.569684835616489
21.203.7	120	3.85448169346472	47.2	0.0365531358171917	27.36	0.558063232667308
22.213.7	149	4.25058396794511	70.15	0.02597221902628	38.5	0.588791348463077
23.218.7	138	3.92028323630409	50.41	0.0493448965155997	20.27	0.551490433794034
24.185.7	140	3.82346038865764	45.76	0.0453964267342094	22.03	0.536303633839475
25.187.7	164	4.37140701422653	79.15	0.0213124660687996	46.92	0.594138785764986
27.192.7	176	4.46505323714214	86.93	0.0185465637238373	53.92	0.598578211506927
28.195.7	167	4.30222361608891	73.86	0.0235040683441881	42.55	0.582664668799645
29.196.7	166	4.32211912736679	75.35	0.022930927520211	43.61	0.586046917796265
3.189.5	137	4.07523249172973	58.86	0.0286113476969613	34.95	0.574135541245679
30.186.9	152	4.11137870156102	61.03	0.0333071032726177	30.02	0.56724887134083
31.188.9	134	3.92411994247183	50.61	0.0369800808750726	27.04	0.555345373756542
32.189.9	154	4.34002251456987	76.71	0.0219815409658463	45.49	0.597240952416203
33.190.9	145	4.02587414045282	56.03	0.043856269186545	22.8	0.56071380430869
34.193.9	138	4.08170173778073	59.25	0.0303070826556861	33	0.574198170464015
35.203.9	159	4.27536437111158	71.91	0.0285543603183243	35.02	0.584634595856913
36.213.9	144	3.90105651765674	49.45	0.0464659352633661	21.52	0.544086098093355
37.218.9	119	3.5774296861462	35.78	0.0525031056697831	19.05	0.518857757950349
38.185.9	167	4.40499534046245	81.86	0.020463838773605	48.87	0.596583390392855
39.187.9	170	4.47535668376508	87.83	0.0176978913210847	56.5	0.604011412319668
4.190.5	142	3.89012082867661	48.92	0.0390530862997381	25.61	0.544092086566847
40.191.9	151	4.32716506035201	75.73	0.0234685846723096	42.61	0.597806452690222
41.192.9	169	4.48093971936136	88.32	0.0195020919421488	51.28	0.605460439930143
42.194.9	174	4.45959089276437	86.45	0.0224051728586232	44.63	0.599170327606503
43.195.9	176	4.42944028343536	83.88	0.0216104014165221	46.27	0.593803993372425
44.196.9	163	4.33218644059346	76.11	0.0210139692222223	47.59	0.589515131009327
45.186.10	147	4.14381380777212	63.04	0.0306789816433155	32.6	0.575555887726486
46.188.10	150	3.91502656869948	50.15	0.05282439671675	18.93	0.541585940431288
47.189.10	150	4.17671221979499	65.15	0.0304505517114724	32.84	0.577786274441541
48.190.10	152	4.18907539982668	65.96	0.0310857433536856	32.17	0.577968721687228
49.193.10	142	4.06221413260838	58.1	0.0305897646848988	32.69	0.568161931423639
5.193.5	150	4.23673146913438	69.18	0.021776282144674	45.92	0.586089048644233
50.203.10	167	4.39547449575171	81.08	0.024832163315338	40.27	0.595293950250941
51.213.10	118	3.55054110027997	34.83	0.06860416760189	14.58	0.515868842073565
52.218.10	141	3.92222716741826	50.51	0.0366132700943626	27.31	0.549366055907764
53.191.10	158	4.23828961291373	69.29	0.0260834848062571	38.34	0.580287081313543
54.194.10	179	4.52676964296671	92.46	0.0204948741179247	48.79	0.604874542304874
55.195.10	182	4.46367734293375	86.81	0.0217259357970883	46.03	0.594539083292723
56.188.12	164	4.284178036088	72.54	0.0267310562409336	37.41	0.582283079127265
57.193.12	152	4.21559674589068	67.73	0.0267990827763764	37.31	0.581627884394748
58.203.12	166	4.49318716679065	89.41	0.0199465993006509	50.13	0.609242460140996
59.213.12	123	3.8133836579222	45.3	0.0406641975734284	24.59	0.549279897793439
6.203.5	160	4.21140102521103	67.45	0.0276797585608749	36.13	0.575176506875518
60.218.12	164	4.18297851730832	65.56	0.0323377412464175	30.92	0.568528569649634
61.185.12	169	4.27773288212922	72.08	0.025485726565497	39.24	0.578003319599829
62.191.12	157	4.25112616523013	70.18	0.0251375516427948	39.78	0.582775487797096
63.192.12	172	4.36656121524101	78.77	0.0221875629474743	45.07	0.587988896096955
64.194.12	165	4.39540048334647	81.08	0.0230504465815225	43.38	0.596688599209813
65.195.12	175	4.47240411716219	87.57	0.0196756921930939	50.82	0.600225124484814
66.196.12	187	4.40270343591421	81.67	0.0249030105723643	40.16	0.583379489313776
7.213.5	111	3.63193902283392	37.79	0.0534177419362628	18.72	0.534547648285909
8.218.5	150	4.22422956488737	68.32	0.0270885083653451	36.92	0.584359595357012
9.185.5	147	4.13911084945442	62.75	0.0282548034493254	35.39	0.574902669344809
